dataset,model,strategy,threshold_type,threshold,cost_fn,cost_fp,cost_ratio,cost_savings_vs_0_5_pct,tpr,fpr,expected_cost,precision,recall,specificity,f1,accuracy,predicted_positive_rate
Home Credit,LR,class_weight,fixed_0_5,0.5,5.0,1.0,5.0,0.0,0.6869369369369369,0.31092036242250837,0.4105328195372584,0.16007443103201488,0.6869369369369369,0.6890796375774917,0.2596447780830399,0.688909484090207,0.3407801245467701
Home Credit,LR,class_weight,youden,0.47867451564198116,5.0,1.0,5.0,-4.9071250346548245,0.7102784602784603,0.34287076776347164,0.4306781783002455,0.15160388077965212,0.7102784602784603,0.6571292322365283,0.2498739465533386,0.6613498528527064,0.3720468920215274
Home Credit,LR,class_weight,cost_optimal,0.68,5.0,1.0,5.0,15.525367341280852,0.3669123669123669,0.10365778272311416,0.34679609124758143,0.23391202192925206,0.3669123669123669,0.8963422172768858,0.2856915105619769,0.8542997902541339,0.1245630294457181
Home Credit,RF,class_weight,fixed_0_5,0.5,5.0,1.0,5.0,0.0,0.6375921375921376,0.29498931454105515,0.415459408484139,0.15714574081550262,0.6375921375921376,0.7050106854589449,0.25214574898785425,0.6996569273043591,0.3221956652521015
Home Credit,RF,class_weight,youden,0.4946509595561936,5.0,1.0,5.0,-1.976361928616164,0.6537674037674037,0.31088503859128563,0.4236703900622734,0.1535465256071171,0.6537674037674037,0.6891149614087144,0.2486856964835079,0.6863079849763426,0.3381135879550591
Home Credit,RF,class_weight,cost_optimal,0.59,5.0,1.0,5.0,13.924546023794615,0.3083538083538084,0.09014641728041824,0.3576085719395802,0.22783661119515886,0.3083538083538084,0.9098535827195817,0.2620497650948321,0.8620880282262654,0.10747443214152155
Home Credit,XGBoost,class_weight,fixed_0_5,0.5,5.0,1.0,5.0,0.0,0.6701474201474201,0.2887016725834084,0.3967448742337772,0.16682807482542433,0.6701474201474201,0.7112983274165916,0.26715096110680325,0.7080305025771101,0.318992569468156
Home Credit,XGBoost,class_weight,youden,0.499066561460495,5.0,1.0,5.0,-0.06966927584936727,0.6721949221949222,0.28988502092937,0.39702128351462534,0.16668359057676685,0.6721949221949222,0.71011497907063,0.2671277461350692,0.7071037185177959,0.32024454091670324
Home Credit,XGBoost,class_weight,cost_optimal,0.68,5.0,1.0,5.0,14.462522027785749,0.3560606060606061,0.09090587965170703,0.3393655594036063,0.2525413883241359,0.3560606060606061,0.909094120348293,0.29549702633814784,0.8651773084239793,0.11196201811293759
Home Credit,LightGBM,class_weight,fixed_0_5,0.5,5.0,1.0,5.0,0.0,0.6433251433251433,0.26190854660096435,0.38272929775783293,0.17483723777196594,0.6433251433251433,0.7380914533990357,0.27495077663530954,0.7305659886509601,0.2921971285953531
Home Credit,LightGBM,class_weight,youden,0.44255126889470575,5.0,1.0,5.0,-9.991928289222136,0.7158067158067158,0.33471096275101997,0.42097133473163906,0.15574464293669532,0.7158067158067158,0.66528903724898,0.2558267169148586,0.6693006845194543,0.36497406630570867
Home Credit,LightGBM,class_weight,cost_optimal,0.68,5.0,1.0,5.0,11.844173499299028,0.35155610155610156,0.0868259771454812,0.3373981756987464,0.2588572290064827,0.35155610155610156,0.9131740228545188,0.298167925675089,0.8685755166414646,0.10784839763913956
